Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count
2,7.109027533,88.73186794,,,0.912727106,1.171045405,0.405301839,140
15,71.25,1038.719521,15,15,1.153714594,1.195999948,1.046399253,1567
7,40.65008042,417.2520056,5,5,1.083279567,1.210540479,0.501473132,651
2,16.17968734,57.26856378,,,0.301413485,0.301413485,0.301413485,95
2,16.17968734,44.00637006,,,0.301413487,0.301413487,0.301413487,73
,16.17968734,18.6876366,,,0.301413489,0.301413489,0.301413489,31
2,46.1960672,59.07704474,,,0.363730339,0.426047178,0.301413499,116
10,51.35475696,625.9625829,5,5,1.060900101,1.379939414,0.261225028,967
12,16.17968734,628.0862427,6,6,1.061594979,1.3395423,0.301413468,943
2,16.17968734,52.14426946,,,0.301413492,0.301413492,0.301413492,86
7,16.17968734,130.133842,,,0.683293926,1.065174364,0.301413487,214
6,40.44090569,289.7324564,1,1,0.674521265,1.126651459,0.30141347,461
15,71.25,841.9086368,6,6,0.959394005,1.270657496,0.347413312,1300
5,71.25,248.2925197,2,2,1.039461142,1.251754613,0.43607971,382
8,31.70015356,350.4599133,3,3,0.746191221,1.235116588,0.301413482,554
2,17.96060007,116.5412276,,,0.303734686,0.419155259,0.271272144,192
2,19.28981385,48.95858143,,,0.649459651,0.99750583,0.301413472,80
1,16.17968734,44.00637006,,,0.301413487,0.301413487,0.301413487,73
2,26.27363504,90.13304628,,,0.539745123,0.921417926,0.271272144,143
3,72.52917968,191.786365,2,2,0.627170045,1.531671661,0.261225028,287
12,16.17968734,604.9111673,5,5,0.851932235,1.318404707,0.301413473,922
4,47.17546212,262.1000986,3,3,1.329843153,1.360927756,1.314639032,378
2,31.3037085,112.1223446,1,1,1.15957894,1.254603112,0.984352494,196
,16.17968734,25.31873346,,,0.301413501,0.301413501,0.301413501,42
3,16.17968734,78.09680403,,,0.301413484,0.301413484,0.301413484,130
7,16.17968734,301.5631961,1,1,0.834675678,1.490926608,0.30141348,480
6,28.18134415,157.4154744,,,0.371022715,1.031447354,0.301413473,257
11,67.03810011,536.6619689,3,3,0.825539134,1.277616809,0.301413485,875
6,34.1040339,173.8493833,,,0.461310332,0.947532306,0.281319261,285
5,24.79182698,182.6766917,,,0.744721356,1.185064286,0.301413476,292
10,35.76012058,321.2957804,,,0.700478245,1.324393995,0.301413463,528
4,16.17968734,203.757834,,,0.838972568,1.320210277,0.301413464,316
5,16.17968734,251.9927738,1,1,0.432424248,1.214128194,0.301413478,388
3,16.17968734,127.7993213,,,0.283874702,0.30141349,0.271272144,212
1,16.17968734,30.74417635,,,0.321021762,0.34063004,0.301413485,66
4,16.17968734,107.9060307,,,0.307259744,0.323829,0.301413463,191
1,16.17968734,72.94206545,,,0.278490656,0.301413468,0.251177911,133
1,16.17968734,52.52400016,,,0.438711268,0.576009056,0.301413476,87
,16.17968734,25.92156045,,,0.30141349,0.30141349,0.30141349,43
2,18.38317293,49.99775165,,,0.30141349,0.301413496,0.301413483,83
14,65.44585283,591.2074791,4,4,0.810614208,1.260315239,0.412622849,922
8,37.82688928,375.4615646,1,1,0.839472984,1.107820811,0.301413487,613
9,35.08312287,227.2290051,,,0.3598397,0.416283902,0.251177911,406
9,29.60249818,315.2873885,,,0.556726295,0.967897893,0.261225028,532
10,16.17968734,515.7877934,3,3,0.755965789,2.044017609,0.301413482,797
8,27.37958159,169.8288366,,,0.460134076,0.78169595,0.301413463,316
8,25.14207478,274.5985006,1,1,0.500974554,1.168527781,0.30141347,503
7,16.17968734,165.1745945,,,0.348915959,0.380031742,0.301413478,274
1,16.17968734,20.24116124,,,0.301413485,0.301413485,0.301413485,34
,16.17968734,30.39630568,,,0.3014135,0.3014135,0.3014135,63
2,16.17968734,56.66573679,,,0.639333034,0.80070157,0.477964498,112
4,16.17968734,105.9557952,,,0.683794912,1.066176335,0.301413489,196
2,16.17968734,96.8828063,,,0.381996015,0.558989567,0.281319261,176
5,41.52050918,173.7704575,,,0.591864433,1.140116295,0.422791332,353
2,28.28891483,84.99860519,,,0.476312516,0.651211561,0.30141347,156
11,16.17968734,710.9857171,7,7,1.268815499,1.669772247,0.30141349,1018
1,16.17968734,73.47023231,,,0.941219509,1.552533381,0.329905638,108
5,38.33606505,131.9057781,,,0.280325147,0.30141349,0.261225028,224
13,71.25,789.6714751,6,6,1.013417284,1.455358059,0.482826054,1204
12,38.00827431,428.2549603,,,0.640871393,1.158790185,0.301413485,697
13,71.25,631.903385,4,4,0.915260286,1.25966301,0.301413488,986
10,46.45854877,501.6253381,6,6,0.995420984,1.382199972,0.30141348,764
1,16.17968734,28.48486285,,,0.549815914,0.549815914,0.549815914,47
4,16.17968734,107.2062648,,,0.678368188,1.443752182,0.27671913,171
8,16.17968734,285.4985944,,,0.580381927,1.072742042,0.409285506,477
14,16.17968734,602.5999555,2,2,0.726083166,1.249445154,0.275215878,954
13,16.17968734,673.7993743,1,1,0.8821416,1.351661997,0.271272144,1062
12,16.17968734,352.7720227,,,0.542005319,1.271200552,0.301413485,587
8,16.17968734,15.67350167,,,0.380875784,0.380875784,0.380875784,419
3,16.17968734,118.9776557,,,0.526100732,0.90319227,0.271272144,217
1,16.17968734,30.27988344,,,0.337876254,0.337876254,0.337876254,62
2,19.88200328,42.80071609,,,0.3014135,0.3014135,0.3014135,71
2,25.53399184,49.43181295,,,0.301413482,0.301413482,0.301413482,82
2,27.69440021,94.10985003,,,0.461306892,1.084653789,0.30141348,164
2,30.86755162,86.99348262,,,0.664803438,1.023870305,0.305736572,138
4,23.66776431,128.3213861,,,0.562568133,1.135247029,0.301413476,211
3,16.17968734,63.29683365,,,0.301413489,0.301413489,0.301413489,105
2,16.17968734,55.46008282,,,0.301413487,0.301413487,0.301413487,92
2,19.29097644,51.77473224,,,0.301413468,0.301413468,0.301413468,86
2,20.32378956,37.30749866,,,0.467554357,1.20234738,0.301413472,71
2,23.43440558,67.40007519,,,0.3831731,0.897107512,0.264091657,111
2,22.96061732,48.22615897,,,0.301413463,0.301413463,0.301413463,81
1,16.17968734,43.62781764,,,0.859140953,0.859140953,0.859140953,89
2,19.28650963,50.63746692,,,0.301413501,0.301413501,0.301413501,84
1,26.6876537,43.40354308,,,0.301413476,0.301413476,0.301413476,72
4,17.4414094,77.31803794,,,0.301413463,0.301413463,0.301413463,128
10,51.6769137,564.3805639,3,3,0.953928838,1.274768138,0.291366377,874
3,16.17968734,135.1133413,,,0.845990523,1.036464161,0.40258616,226
4,16.17968734,91.02687506,,,0.30141348,0.30141348,0.30141348,151
10,31.16664461,512.8622189,3,3,0.956132973,1.214424181,0.301413483,796
2,17.49856014,37.30162853,,,0.301413478,0.301413478,0.301413478,63
9,51.57435632,592.2583164,6,6,1.042816316,1.264902837,0.301413482,894
,16.17968734,18.6876366,,,0.301413489,0.301413489,0.301413489,31
3,16.17968734,141.4933778,,,0.854691957,1.111981546,0.357943108,244
1,16.17968734,23.01786274,,,1.055928602,1.055928602,1.055928602,36
2,19.29091525,54.25442884,,,0.301413497,0.301413497,0.301413497,90
1,16.17968734,39.14127271,,,0.682615989,1.063818502,0.301413476,63
6,40.36607915,323.871941,,,0.734780437,0.993714435,0.301413466,527
15,71.25,967.3935824,7,7,1.073961815,1.190113951,0.905967361,1492
13,71.25,885.2787988,11,11,1.142261492,1.228255582,0.424697493,1333
14,68.14709383,858.4304788,11,11,1.098306777,1.262038051,0.301413485,1296
15,71.25,1055.183864,15,15,1.174943335,1.250006243,1.012932808,1584
11,63.45440606,579.0075221,3,3,0.923637174,1.23817564,0.43834675,917
11,54.15008858,642.0071673,5,5,1.023730052,1.316954114,0.301413463,983
4,16.17968734,133.5667573,,,0.770871114,1.240328743,0.301413484,210
7,35.84847783,348.8756727,2,2,0.925189548,1.176160907,0.301413492,546
2,24.37062684,155.7327596,2,2,1.198722019,1.228878797,1.168565242,234
,16.17968734,17.38408678,,,0.301413476,0.301413476,0.301413476,29
7,16.17968734,317.6192589,1,1,0.676724427,1.232546304,0.30141348,497
1,16.17968734,24.71590647,,,0.577840893,0.577840893,0.577840893,54
4,16.17968734,143.6030972,,,0.57496578,1.160005334,0.281319261,254
4,29.97601105,254.8335727,3,3,1.145281347,1.188528072,1.096233126,399
8,66.68911446,442.0188079,2,2,0.730041194,1.314535994,0.30141349,689
1,34.78066447,52.24826078,,,0.62494117,0.948468876,0.301413464,85
6,30.53413147,284.1967431,3,3,0.958896225,1.321376501,0.301413466,415
4,38.78721329,187.7476154,,,0.414928155,0.882827287,0.301413487,304
4,36.39489771,176.3342879,,,0.539709174,1.060600211,0.301413487,287
14,56.15433412,806.3543004,9,9,0.990688467,1.277371862,0.301413492,1225
15,71.25,1086.199192,14,14,1.210512894,1.27381417,0.950195439,1616
7,42.6968761,511.5389666,6,6,1.18942815,1.266260517,0.813285614,765
2,16.17968734,56.36397494,,,0.677760562,1.054107627,0.301413496,90
9,29.98370003,613.4324818,6,6,1.086529841,1.356297015,0.276044378,929
5,34.23302081,107.1275762,,,0.301413474,0.301413474,0.301413474,178
4,34.83989565,167.210238,,,0.61546331,0.816917725,0.458363368,283
4,16.17968734,213.3560324,1,1,0.828855561,1.204914831,0.301413484,346
2,16.17968734,78.20245648,,,0.445440062,0.589466635,0.301413485,129
3,16.17968734,91.66483697,,,0.573999016,0.846584561,0.301413471,160
3,16.17968734,68.11944955,,,0.493593726,0.493593726,0.493593726,140
14,62.84822834,789.8243888,7,7,1.038961871,1.311987219,0.341453557,1217
2,31.54405982,78.9476875,,,0.486035662,0.670657862,0.301413463,152
12,62.94347386,720.9993502,6,6,1.021641962,1.398649346,0.301413473,1080
7,53.39033047,360.150525,4,4,1.016051232,1.276097693,0.3014135,552
,16.17968734,18.08480961,,,0.301413483,0.301413483,0.301413483,47
12,16.17968734,449.6952485,2,2,0.806878905,1.268900157,0.301413466,697
4,16.17968734,80.64747387,,,0.312850193,0.312850193,0.312850193,132
2,16.17968734,85.9129393,,,0.301413479,0.301413485,0.301413473,143
3,19.41139686,65.39663448,,,0.408190101,0.554045214,0.261225028,147
5,34.92709031,315.1292855,4,4,0.933549423,1.219209237,0.30141346,491
6,37.69322733,371.681834,3,3,0.866552644,1.410259368,0.301413485,562
,16.17968734,25.6871081,,,0.261225028,0.261225028,0.261225028,43
9,40.91582473,422.7910539,2,2,0.786832913,1.274238504,0.301413496,676
4,29.68597792,251.1213807,2,2,1.068250597,1.225106033,0.88554529,380
15,70.86726849,801.0231315,5,5,0.968018129,1.342493539,0.301413482,1235
15,71.25,1035.116916,13,13,1.150582982,1.383448844,0.555521285,1555
15,71.25,1017.3553,11,11,1.128691873,1.343739833,0.785255961,1539
4,22.70533583,163.4925107,1,1,0.746682057,1.147335674,0.301413489,259
13,62.85655008,923.899161,11,11,1.214839552,1.3424077,0.345311686,1362
9,49.65521711,635.1014145,8,8,1.197355454,1.389801883,1.058920855,962
,16.17968734,21.09894455,,,0.301413489,0.301413489,0.301413489,35
10,50.33665073,647.5959969,5,5,1.058188212,1.413266783,0.30141349,975
6,46.75992602,435.676343,4,4,1.243955331,1.410452187,0.813502266,658
,16.17968734,15.07067468,,,0.251177911,0.251177911,0.251177911,39
1,16.17968734,47.62333199,,,0.503203051,0.503203051,0.503203051,92
1,16.17968734,24.0539563,,,0.301413485,0.301413485,0.301413485,70
4,22.18786396,196.0994208,,,0.653785845,1.316564844,0.301413468,326
12,58.23364209,707.5887554,5,5,1.058121741,1.276836279,0.55630186,1109
1,16.17968734,58.47421775,,,0.301413487,0.301413489,0.301413485,97
1,16.17968734,53.65160186,,,0.301413487,0.301413497,0.301413476,143
,20.65109079,27.93639234,,,0.804030894,0.804030894,0.804030894,59
5,23.69076839,138.3309813,,,0.875965231,1.211844846,0.301413485,240
,14.72143017,24.48008751,,,0.261225028,0.261225028,0.261225028,50
1,14.72135401,26.08731739,,,0.301413464,0.301413464,0.301413464,74
,14.72135401,24.11307949,,,0.301413463,0.301413463,0.301413463,40
1,14.72135401,47.020505,,,0.365415556,0.429417645,0.301413466,90
,14.72135401,19.58241968,,,0.301413483,0.301413483,0.301413483,49
5,32.38354102,135.344116,,,0.523953435,0.803009663,0.291366377,225
,14.72135401,21.09894455,,,0.301413489,0.301413489,0.301413489,35
,14.72135401,18.6876366,,,0.301413489,0.301413489,0.301413489,31
2,14.72135401,95.41544643,,,0.301413496,0.301413505,0.301413487,157
5,33.5609071,227.7193364,,,0.746340587,1.191267687,0.301413485,372
9,48.77439878,385.7615578,1,1,0.775616307,1.420356783,0.301413492,611
1,14.72135401,43.0700736,,,0.301413489,0.301413489,0.301413489,70
5,14.72135401,98.86362589,,,0.55595775,0.810502031,0.30141347,164
3,15.68661836,68.72227654,,,0.344326125,0.384758808,0.303893441,133
3,15.69483202,98.86362589,,,0.40110754,0.828356963,0.274396448,173
8,14.72705609,278.4049447,,,0.527168025,1.000785223,0.301413473,482
3,15.20751373,91.24542026,,,0.748997517,1.064619386,0.348310261,150
8,14.72135401,235.9588789,1,1,0.926289271,1.481801116,0.301413483,387
6,14.72135401,135.5863557,,,0.475337419,1.211271445,0.301413466,221
13,14.72135401,451.4053448,,,0.618294062,1.053206901,0.301413482,738
15,14.72135401,724.4283284,3,3,0.82408305,1.523856802,0.313258861,1128
11,15.09880147,613.7617248,5,5,1.037859513,1.332103882,0.398876019,831
3,15.86765586,113.9343006,,,0.594766869,0.667241167,0.522292571,189
5,15.69954406,316.2178439,2,2,1.064397797,1.337391033,0.941306845,488
15,14.72135401,922.0862381,7,7,1.045653837,1.351144364,0.42760569,1396
,15.77661697,15.67350167,,,0.261225028,0.261225028,0.261225028,26
4,15.78433642,309.3226226,4,4,1.271650268,1.296505876,1.24679466,453
2,15.98705609,150.7764491,2,2,1.268297282,1.268297282,1.268297282,221
1,14.72135401,22.0124427,,,0.301413473,0.301413473,0.301413473,37
9,67.42054288,581.5538733,7,7,0.950111867,1.247870895,0.301413487,874
9,52.63580778,572.896486,6,6,1.142636903,1.25228241,0.839074494,871
14,52.9229098,733.7533515,4,4,0.892846715,1.33962714,0.301413483,1117
2,17.30684866,140.6398232,1,1,0.824853436,1.162183012,0.271272144,218
7,14.72135401,204.2156909,,,0.793653808,1.223491118,0.301413494,348
13,14.72135401,660.4980988,5,5,0.976278532,1.438564273,0.301413478,988
3,20.54140761,132.009906,1,1,0.702800411,1.067897267,0.291366377,210
9,37.07181406,402.7396508,3,3,0.795794797,1.377904543,0.301413489,644
2,14.72135401,48.22615897,,,0.301413463,0.301413463,0.301413463,80
2,14.72135401,52.44594788,,,0.301413471,0.301413471,0.301413471,87
2,15.22141338,40.8179679,,,0.30141349,0.30141349,0.30141349,68
13,57.8330425,748.4700776,7,7,1.037175928,1.277454586,0.388370387,1153
7,17.2184335,272.2264018,,,0.494332998,0.788840626,0.301413467,448
7,57.95,527.6468599,6,6,1.304367974,1.50367303,1.027338192,770
4,22.31129558,129.7163481,,,0.594052638,0.886691788,0.301413489,211
6,35.95050977,465.8287111,5,5,1.334874499,1.423135041,1.159937199,673
2,14.72135401,50.12911988,,,0.579455396,0.857497308,0.301413484,83
1,14.72135401,61.56886757,,,0.563712372,0.852120095,0.261225028,102
3,20.04491373,73.03401148,,,0.301413485,0.301413489,0.301413481,120
6,37.5305102,154.6027492,,,0.5937501,0.902997324,0.301413485,256
1,14.72135401,27.73004141,,,0.301413487,0.301413487,0.301413487,46
2,14.72135401,116.0732864,1,1,1.184007115,1.215737506,1.152276724,196
5,24.22626047,140.3368652,,,0.767892348,1.063992166,0.301413474,225
1,17.16358038,42.1978891,,,0.301413489,0.301413489,0.301413489,70
1,19.96844706,40.38940814,,,0.301413473,0.301413473,0.301413473,67
7,14.72135401,250.6592054,,,0.663039516,1.211942119,0.301413482,407
4,37.15130549,151.3095738,,,0.562963723,0.688317025,0.291366377,251
3,18.79166725,68.11944955,,,0.352441525,0.403469554,0.301413496,113
1,19.600139,23.20816841,,,0.501976172,1.203867164,0.301413452,35
2,18.52129609,71.95603903,,,0.301413474,0.301413474,0.301413474,119
2,23.46151378,94.68614996,,,0.91365411,1.016366223,0.810941998,164
1,20.04246411,56.66573679,,,0.301413481,0.301413489,0.301413474,133
,14.72135401,16.27632865,,,0.271272144,0.271272144,0.271272144,44
2,16.34627078,63.29683365,,,0.301413479,0.301413483,0.301413475,105
2,14.72135401,45.82186412,,,0.301413467,0.301413467,0.301413467,76
10,55.06583277,584.674514,5,5,1.144887564,1.26368704,0.934913281,891
2,14.72135401,54.85725583,,,0.301413478,0.301413478,0.301413478,91
10,14.72135401,657.6561462,4,4,0.922546966,1.290390007,0.281319261,1030
4,26.35413462,81.98447025,,,0.428534698,0.555655908,0.301413488,136
2,87.8006944,104.6401541,,,0.809189324,0.976672003,0.529355426,177
6,28.7746506,331.3616631,4,4,0.951964225,1.383640217,0.301413463,481
4,29.48715475,202.0366906,1,1,0.559984097,1.353709681,0.301413468,305
2,19.76094956,48.22615897,,,0.301413463,0.301413463,0.301413463,80
9,14.72135401,546.7638828,5,5,1.011945469,1.250135705,0.301413485,838
3,22.48584324,102.8639792,,,0.31735082,0.368004804,0.301413474,170
4,21.81445434,124.7851863,,,0.533389349,0.765365218,0.30141348,224
10,33.87985158,392.1038071,2,2,0.810487156,1.324123536,0.251177911,605
3,14.72135401,113.043843,,,0.795335314,1.289257145,0.301413483,177
7,14.72135401,267.633311,1,1,0.682269343,1.175081394,0.301413474,433
1,14.72135401,72.94206545,,,0.301413475,0.301413484,0.301413463,121
1,14.72135401,23.05951577,,,0.301413485,0.301413485,0.301413485,38
4,14.72135401,192.5257919,2,2,0.970153695,1.298584131,0.301413485,290
3,14.72135401,129.741717,,,0.403800498,0.775033997,0.291366377,227
2,15.64783996,68.93977092,,,0.314545217,0.418932074,0.301413485,126
10,52.59735797,668.9923968,6,6,1.21218449,1.300650341,0.755225935,1030
3,21.07793428,154.9366679,,,0.804513387,1.100173298,0.30141348,248
7,32.75843373,277.9162707,1,1,0.591044219,1.183031756,0.261225028,456
1,21.47299607,24.08192,,,1.143958058,1.143958058,1.143958058,37
1,14.72135401,28.40530746,,,0.301413474,0.301413474,0.301413474,47
3,14.72135401,62.13643778,,,0.301413482,0.301413482,0.301413482,103
4,14.72135401,115.7121518,,,0.8008251,1.191146784,0.410503416,239
2,14.72135401,105.4947228,,,0.293892283,0.301413496,0.281319261,202
4,36.71940329,122.2999433,,,0.533173777,0.764934073,0.301413481,203
,21.54240206,14.54178274,,,0.301413489,0.301413489,0.301413489,24
1,14.72135401,24.11307949,,,0.473054947,0.473054947,0.473054947,57
5,14.72135401,186.2562669,,,0.42806013,1.152847813,0.30141348,300
8,32.07683883,220.1043928,,,0.374194517,0.577985664,0.301413483,379
1,14.72135401,30.45167678,,,0.340810561,0.340810561,0.340810561,62
,14.72135401,19.89329058,,,0.30141348,0.30141348,0.30141348,33
12,43.55940239,566.1377579,5,5,0.860171609,1.230966291,0.301413485,884
4,14.72135401,130.235434,,,0.584667696,1.34826576,0.301413467,210
10,31.45564319,448.8194833,3,3,0.721375912,1.19384779,0.301413482,696
5,29.68807189,363.900659,5,5,1.16616781,1.236194771,1.043285541,547
4,15.37357822,84.51178151,,,0.301413484,0.301413484,0.301413484,140
8,36.88516113,498.189228,5,5,1.065377166,1.317394501,0.301413474,740
3,14.72135401,137.4752446,,,0.667338581,1.020357406,0.301413463,224
7,30.11963787,358.0225487,3,3,0.878052004,1.279351995,0.301413466,549
4,25.49175507,288.7229525,3,3,1.287544404,1.355318276,1.184183645,421
6,30.39375552,203.1526947,,,0.554928563,0.7854103,0.281319261,373
14,57.07284274,690.1107955,,,0.825354838,1.075353999,0.301413489,1116
1,20.50472243,43.4712794,,,0.501115318,0.501115318,0.501115318,72
4,18.58095162,106.1559033,,,0.811143022,1.320872549,0.301413495,170
5,26.34918734,174.6565201,,,0.406147912,0.909329419,0.297689889,285
10,20.94714668,297.100042,2,2,0.736003459,1.170593452,0.301413466,469
6,30.41452823,364.643663,4,4,1.106551913,1.207802984,0.702899153,568
11,45.99795183,574.3913172,2,2,0.913112887,1.376530897,0.301413466,887
5,26.15746373,186.4448104,,,0.597531524,1.185615761,0.301413485,303
12,14.72135401,550.6725,5,5,1.105819926,1.413102997,0.30141348,818
1,14.72135401,36.38411991,,,1.170594141,1.170594141,1.170594141,54
1,17.40556474,47.62333199,,,0.301413484,0.301413484,0.301413484,79
4,17.80312418,123.5554075,,,0.333753547,0.969781361,0.301413466,227
5,28.96389601,181.9419755,1,1,0.531519445,1.124575816,0.281319261,305
3,14.72135401,133.6421131,,,0.714635955,1.127858446,0.301413464,206
2,14.72135401,51.24029391,,,0.301413481,0.301413481,0.301413481,90
,15.17832883,12.99017396,,,0.301413476,0.301413476,0.301413476,34
5,30.0869282,136.5109189,,,0.407867623,0.452728117,0.301413473,226
10,44.74124706,494.9947967,,,0.795820307,1.081167129,0.301413496,799
15,57.95,901.96384,3,3,1.00375261,1.156553296,0.644539076,1416
15,57.95,813.4426105,6,6,1.010541192,1.246566336,0.458762304,1255
7,44.64633617,316.6221188,3,3,0.708324928,1.232947421,0.301413472,505
1,17.97531829,33.75831128,,,0.301413472,0.301413472,0.301413472,56
6,27.26059129,244.7178169,2,2,0.850848007,1.145352068,0.301413473,385
6,21.83944597,208.3201858,,,0.480877057,1.286018089,0.291366377,361
2,14.72135401,42.29361446,,,0.301413481,0.301413481,0.301413481,70
3,23.4972975,165.3971526,,,0.635478925,1.321298323,0.282049986,253
5,14.72135401,248.3613505,1,1,0.782403845,1.282362412,0.301413474,389
,14.72135401,18.6876366,,,0.301413489,0.301413489,0.301413489,56
9,26.25499476,291.1257357,1,1,0.755895366,1.143957572,0.301413473,471
10,45.79852368,493.3148729,3,3,0.946699911,1.184759623,0.498006447,773
1,14.72135401,21.7648742,,,0.301413497,0.301413497,0.301413497,36
3,14.72135401,66.20120959,,,0.686625591,1.071837696,0.301413487,140
2,14.72135401,57.26856378,,,0.402239669,0.503065864,0.301413473,95
3,23.29090473,76.55902737,,,0.402221423,0.503029371,0.301413475,127
2,16.16302936,63.23382425,,,0.301413476,0.301413476,0.301413476,105
2,25.38163418,41.65807151,,,0.530128743,0.758843994,0.301413492,69
3,23.76738047,81.00854392,,,0.336943111,0.372472735,0.301413488,134
11,40.83971766,468.3501994,3,3,0.759014081,1.213490459,0.251177911,751
15,57.95,982.1054752,12,12,1.108511534,1.296111852,0.458686938,1474
7,55.09454461,398.7995863,4,4,0.910914368,1.191135535,0.301413488,608
7,23.38274159,188.8378633,,,0.742600258,1.306588753,0.301413472,301
1,14.72135401,71.56672153,,,0.331432841,0.827811701,0.251177911,130
3,14.72135401,68.59012536,,,0.720351722,1.139289955,0.301413489,110
,14.72135401,16.27632865,,,0.271272144,0.271272144,0.271272144,48
12,43.04730855,714.8446011,7,7,1.081847182,1.347279816,0.372889107,1116
9,57.51463681,582.8242829,6,6,1.061180236,1.292335291,0.301413497,878
15,57.95,924.41174,10,10,1.105739042,1.30906766,0.608278089,1396
5,26.41475078,320.1524476,3,3,1.010683355,1.273020087,0.48119288,485
2,17.16377251,53.04877487,,,0.30141348,0.30141348,0.30141348,109
1,20.0439531,43.40354308,,,0.301413476,0.301413476,0.301413476,72
1,18.18877174,26.52438743,,,0.434326364,0.574307891,0.294344838,59
1,14.72135401,26.95428786,,,0.301413484,0.301413484,0.301413484,45
4,23.41559536,162.5108551,,,0.794397356,1.174297582,0.330579012,271
8,37.33563811,296.3168884,,,0.706190303,1.222304716,0.301413463,471
1,19.73928721,27.73004141,,,0.301413487,0.301413487,0.301413487,46
1,17.1885089,24.11307949,,,0.301413463,0.301413463,0.301413463,40
1,26.18347753,35.56679224,,,0.370451489,0.370451489,0.370451489,74
,19.68654826,24.11307949,,,0.301413463,0.301413463,0.301413463,40
4,14.72135401,85.60143218,,,0.3014135,0.3014135,0.3014135,142
2,14.72135401,58.9437549,,,0.774206413,1.246999339,0.301413487,95
5,22.04078032,171.6180722,,,0.599444831,1.029840746,0.301413463,298
6,30.837969,372.0795213,4,4,1.160029815,1.260613626,0.975305211,601
1,14.72135401,37.97810019,,,0.309586859,0.317760236,0.301413482,75
3,14.72135401,103.6862418,,,0.301413494,0.301413501,0.301413487,187
8,44.87001756,466.3692974,3,3,0.799427404,1.282927651,0.301413482,720
6,30.8625089,355.1391868,2,2,1.117689354,1.222478086,0.821825132,576
13,42.66223738,382.3911937,,,0.560423141,0.899913893,0.301413495,631
12,15.59956797,869.8793535,9,9,1.088443784,1.364757606,0.301413505,1280
6,14.72135401,442.5458259,5,5,1.256380986,1.336962417,0.710821269,652
1,14.72135401,22.90742551,,,0.301413485,0.301413485,0.301413485,67
,14.72135401,25.31873346,,,0.301413501,0.301413501,0.301413501,42
10,35.99149691,473.5807452,4,4,0.862186216,1.322875734,0.301413468,735
15,57.95,1170.003211,14,14,1.302411507,1.44216448,0.628502574,1689
15,57.95,1080.299829,14,14,1.237310232,1.406322223,0.369740425,1585
15,57.95,1213.385826,14,14,1.405391297,1.499577123,1.314269567,1723
13,52.25754459,989.7064621,11,11,1.271617399,1.424602142,0.261501094,1430
,14.72135401,63.89966064,,,0.301413471,0.30141348,0.301413464,106
2,20.8769691,59.07704474,,,0.359352684,0.41729188,0.301413489,98
,14.72135401,16.87915564,,,0.281319261,0.281319261,0.281319261,62
1,14.72135401,26.61956387,,,0.301413501,0.301413501,0.301413501,50
1,17.16237959,31.94983032,,,0.301413496,0.301413496,0.301413496,53
13,46.41755789,751.7788032,8,8,1.225678878,1.444795783,0.301413475,1081
5,29.71507783,450.0112021,5,5,1.441123877,1.447294387,1.424196205,632
10,29.29413947,568.2923789,5,5,0.976740032,1.433477465,0.30141348,847
15,57.95,1119.181692,12,12,1.300318655,1.422068236,0.581718607,1622
15,57.95,1061.559928,12,12,1.250436543,1.388066624,0.760264026,1562
13,57.95,903.0323687,9,9,1.148114356,1.412545009,0.301413485,1343
1,17.37800946,80.10777958,1,1,0.645852791,1.04052767,0.251177911,124
10,48.05482762,655.8580002,6,6,1.041528158,1.478576329,0.301413489,990
5,22.5882171,187.5847398,1,1,0.675187248,1.352430466,0.301413492,296
